id,name,description,category,address,suburb,state,postcode,latitude,longitude,phone,email,website,hours,eligibility,cost,source_id,source_name,source_organisation,source_jurisdiction,source_license,source_url,source_date
osm_social_facilities_0013,Centrelink Queanbeyan,Social Facility,community,,,VIC,,-35.3519365,149.2330337,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0014,Pakenham Masonic Centre,Community Centre,community,,,VIC,,-38.0823333,145.4876525,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0015,The Wheelchair Factory,Social Facility,community,,,VIC,,-35.3524775,149.0595844,,,https://www.scootersaus.com.au/,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0017,Adaminaby Memorial Hall,Community Centre,community,,,VIC,,-35.995354,148.7742271,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0018,Balranald Senior Citizens Centre,Community Centre,community,,,VIC,,-34.6392733,143.562177,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0019,Country Women's Association,Community Centre,community,,,VIC,,-34.6380033,143.5608117,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0020,Colleen’s,Social Facility,community,,,VIC,,-35.3546764,149.0876746,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0021,Pegasus Healthcare,Social Facility,community,,,VIC,,-35.3546328,149.0878564,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0022,Canberra Wing Chun Academy,Social Facility,community,,,VIC,,-35.3538948,149.0880808,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0023,Taoist Tai Chi Society,Social Facility,community,,,VIC,,-35.3540873,149.0872957,,,https://www.taoisttaichi.org/locations/canberra-centre/,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0024,Defence Force Recruiting,Social Facility,community,,,VIC,,-35.3493158,149.0893267,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0025,Maddocks Gardens,Assisted Living for senior,community,,,VIC,,-37.8328676,147.6059635,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0026,Strzelecki House,Nursing Home for senior,health,,,VIC,,-38.4018457,146.1548446,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0027,Multiple Sclerosis Society of the ACT,Social Facility,community,,,VIC,,-35.3248477,149.0930796,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0028,Kororoit Creek Neighbourhood House,Community Centre,community,,,VIC,,-37.7813308,144.813371,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0029,Windermere Child & Family Services,Social Facility,community,,,VIC,,-38.0243522,145.3061871,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0030,Canberra & District Historical Society,Social Facility,community,,,VIC,,-35.3248676,149.0822384,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0031,Domestic Violence Resource Centre Victoria,CHARITY,community,Wellington Street,,VIC,,-37.799873,144.987399,+61 3 9486 9866,,http://www.dvrcv.org.au/,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0032,Down Syndrome Victoria,CHARITY,community,Napier Street,Fitzroy,VIC,3065,-37.801389,144.980001,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0033,Fawkner Occasional Care Centre,Community Centre,community,,,VIC,,-37.7033631,144.9689722,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0034,Connections Community House,Community Centre,community,,,VIC,,-37.900089,145.042204,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0035,Corryong Memorial Hall,Community Centre,community,Hanson Street,,VIC,,-36.1952558,147.9067113,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0036,Batlow Literary Institute,Community Centre,community,,,VIC,,-35.5208911,148.1474207,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0037,Nilma Community Hall,Community Centre,community,,,VIC,,-38.1324827,145.9861412,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0038,Tatong Community Hall,Community Centre,community,Tiger Hill Road,Tatong,VIC,3673,-36.730793,146.1093018,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0039,Moongala Women's Community House,Community Centre,community,Centre Road,Bentleigh East,VIC,3165,-37.9226982,145.0695675,+61 3 9570 3468,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0040,InnerSpace,Outreach for drug_addicted,community,Johnston Street,,VIC,,-37.7989069,144.9849795,+61 3 9468 2800,,http://www.innerspace.org.au/,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0041,Holy Trinity Church Hall,Community Centre,community,,,VIC,,-37.7395743,144.9673469,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0042,Campbellfield Community Centre,Community Centre,community,,,VIC,,-37.6793387,144.9658555,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0043,HomeGround Services,CHARITY,community,Oxford Street,,VIC,,-37.804712,144.984869,+61 3 9288 9611,,http://www.homeground.org.au,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0044,The Society of St Vincent De Paul,CHARITY,community,Brunswick Street,Fitzroy,VIC,3065,-37.802205,144.978018,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0045,North Ringwood Community House,Community Centre,community,,,VIC,,-37.7922359,145.2368249,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0046,Elderly Cits.,Community Centre,community,,,VIC,,-37.4240743,143.8955547,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0047,Bennettswood Neighbourhood House,Community Centre,community,Greenwood Street,Burwood,VIC,3125,-37.8509119,145.1289662,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0048,Boronia Progress Hall,Community Centre,community,,,VIC,,-37.862921,145.2846183,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0049,Men's Shed,Community Centre,community,,,VIC,,-37.4179181,143.8982932,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0050,Bombala Community Centre,Community Centre,community,,,VIC,,-36.9121347,149.2368993,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0051,Coolac Memorial Hall,Community Centre,community,,,VIC,,-34.9286596,148.1658628,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0052,Catherine View Gardens,Group Home for senior,housing,,,VIC,,-34.3243787,148.2893727,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0053,Southern Cross Care,Group Home for senior,housing,,,VIC,,-34.3227124,148.2887007,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0054,Belgium Avenue Neighbourhood House,Community Centre,community,Belgium Avenue,Richmond,VIC,3121,-37.8143932,144.9975324,+61 3 9428 1676,,http://banh.org.au/,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0055,Operation Stitches Community Centre,Community Centre,community,Vere Street,Richmond,VIC,3121,-37.8138993,144.9972939,,,http://www.stitches.org.au/,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0056,Box Hill South Neighbourhood House,Community Centre,community,Kitchener Street,Box Hill South,VIC,3128,-37.8347262,145.1277511,+61 3 9898 8270,,https://www.bhsnh.org.au/BHSNH/,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0057,Camberwell City RSL,Community Centre,community,,,VIC,,-37.835372,145.06207,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0058,Corangamite Catchment Management Authority,NGO,community,Corio Street,,VIC,,-38.1460364,144.3603119,+61 3 5232 9100,,https://ccma.vic.gov.au,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0059,The Salvation Army,CHARITY,community,Bourke Street,,VIC,,-37.811989,144.971454,+61 3 9653 3299,,https://www.salvationarmy.org.au/,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0060,Corowa Community Hub,Community Centre,community,Sanger Street,Corowa,VIC,2646,-35.9979195,146.3914464,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0062,Network West,Community Centre,community,,,VIC,,-37.7796555,144.9195106,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0063,Women's Health in the North,NGO,community,High Street,Thornbury,VIC,3071,-37.7586418,145.000781,+61 3 9484 1666,,https://www.whin.org.au/,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0064,Opal Aged Care,Group Home for senior,housing,,,VIC,,-37.6447348,144.9144497,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0065,National Tertiary Education Union (NTEU),NGO,community,,,VIC,,-37.7989947,144.9620705,,,https://archive.nteu.org.au/melb/,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0067,Kerrie Neighbourhood House,Community Centre,community,,,VIC,,-37.8765821,145.1773686,,,https://www.knh.org.au/,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0068,Mi Place,Community Centre,community,,,VIC,,-37.909101,145.352216,+61 3 9754 7777,,http://www.drers.org.au/mi-place,Mo-Fr 09:30-14:00,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0069,Environment Center,Social Facility,community,,,VIC,,-38.3958795,144.212625,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0070,Money Box,Social Facility,community,,,VIC,,-38.3976868,144.2114389,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0071,Troop Hall,Social Facility,community,,,VIC,,-38.3974387,144.2120236,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0072,St Brendan's Church Hall,Community Centre,community,,,VIC,,-37.7839102,144.9327717,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0073,Sheridan Hall,Nursing Home,health,Marion Street,,VIC,,-37.9077261,145.0027298,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0074,Wyreena Community Arts Centre,Community Centre,community,Hull Road,Croydon,VIC,3136,-37.7962828,145.2923465,,,https://www.maroondah.vic.gov.au/wyreena,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0075,Newbury Child and Community Centre,Community Centre,community,Grand Boulevard,,VIC,,-37.5711185,144.9088607,+61 3 9356 6729,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0076,Bittern Hall,Community Centre,community,,,VIC,,-38.3360323,145.1775581,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0077,Boroondara Youth Hub,Community Centre,community,Burwood Road,Hawthorn,VIC,3122,-37.8232248,145.0357549,,,https://www.boroondara.vic.gov.au/residents/youth-services,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0078,Gundillion Public Hall,Community Centre,community,Cooma Road,Krawarree,VIC,2622,-35.7608327,149.6348831,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0079,Melbourne City Mission,CHARITY,community,,,VIC,,-37.829115,144.963035,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0080,St Mary's House of Welcome,CHARITY,community,Brunswick Street,Fitzroy,VIC,3065,-37.8025178,144.9775616,,,https://www.smhow.org.au/,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0081,Mount Franklin-St. George Lodge,Community Centre,community,Vincent Street,Daylesford,VIC,3460,-37.3407045,144.1423826,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0082,Sydenham Maternal And child Health Centre,Social Facility,community,,,VIC,,-37.7003608,144.7742306,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0083,The Fair Community Centre,Community Centre,community,,,VIC,,-35.2255012,149.1676515,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0084,Bellfield Community Centre,Community Centre,community,,,VIC,,-37.7560806,145.0382974,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0085,1st Colac Scout Hall,Community Centre,community,,,VIC,,-38.3381175,143.5942084,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0086,Covenant House,Group Home for senior,housing,Canterbury Road,,VIC,,-37.8324439,145.1566848,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0087,St James Terrace Aged Care,Group Home for senior,housing,,,VIC,,-37.9675916,145.0753085,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0088,The Heights,Group Home for senior,housing,,,VIC,,-37.7937322,145.1770609,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0089,Frankston Men's Shed,Community Centre,community,Hastings Road,,VIC,,-38.1536929,145.1321185,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0090,Sandringham District Masonic Hall,Community Centre,community,Abbott Street,Sandringham,VIC,3191,-37.9484437,145.00344,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0091,St. Leigh Private Nursing Home,Group Home for senior,housing,Bay Road,Sandringham,VIC,3191,-37.9516375,145.0055669,,,autumncareac.com,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0092,Mercy Place Fernhill,Group Home for senior,housing,Fernhill Road,Sandringham,VIC,3191,-37.9513287,145.0073231,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0093,Wodonga Australian-Croatian Club Inc.,Community Centre,community,,,VIC,,-36.1116837,146.8957041,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0094,Blackflat Community Centre,Community Centre,community,,,VIC,,-37.8885666,145.164569,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0095,Highett Neighbourhood Community House,Community Centre,community,,,VIC,,-37.9475706,145.0379068,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0096,Belgrade Avenue Community Centre,Community Centre,community,,,VIC,,-36.1283766,146.9039959,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0097,Springthorpe Country Club,Community Centre,community,Springthorpe Boulevard,Macleod,VIC,3085,-37.7215825,145.061967,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0098,Darebin Creek Environment Centre (Gleeson Centre),NGO,community,Separation Street,,VIC,,-37.7734082,145.0323636,,,https://dcmc.org.au/,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0099,Victorian Elderly Chinese Welfare Society,Community Centre,community,,,VIC,,-37.8059797,144.9553273,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0100,Lithuanian Club,Community Centre,community,Errol Street,North Melbourne,VIC,3051,-37.8040691,144.9496058,+61 3 9328 1560,,https://www.lithuanianclub.com/,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0101,The Centre,Community Centre,community,Errol Street,North Melbourne,VIC,3051,-37.8037537,144.9497259,+61 3 9328 1126,,http://www.centre.org.au,Mo 10:00-18:00; Tu-Fr 10:00-15:00; Sa-Su off; PH off,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0102,Alan Roberts International Medical Graduates Support & Advisory Services Pty ( ARIMGSAS ),Community Centre,community,Bowen Crescent,,VIC,3004,-37.8351357,144.9732897,+61 3 9867 3344,,https://www.arimgsas.com.au/,Mo-Fr 08:30-16:30; Sa-Su 09:00-17:00,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0103,Quantum Support Services,Social Facility,community,Main Street,,VIC,,-37.8269334,147.6253889,+61 3 5152 8000,,https://www.quantum.org.au/,Mo-Fr 09:00-17:00,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0104,Scottvale Ages Care,Group Home for senior,housing,Scott Street,,VIC,,-37.9862297,145.2056244,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0106,Brooklyn Community Centre,Community Centre,community,Cypress Avenue,,VIC,,-37.8229111,144.8484191,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0107,IPC Health Inc.,Community Centre,community,Harvester Road,,VIC,,-37.7847859,144.8305947,,,https://www.ipchealth.com.au,Mo-Fr 09:00-17:00,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0108,Greenvale,Group Home for senior,housing,,,VIC,,-37.7933907,145.1768744,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0110,Netherby Hall,Community Centre,community,,,VIC,,-36.1086821,141.65151,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0111,Springvale Age Care Facility,Nursing Home,health,,,VIC,,-37.9571095,145.1509899,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0112,South East Community Links Youth Links,Community Centre,community,Douglas Street,,VIC,,-37.9681761,145.1769853,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
